Date,Open,High,Low,Close,Vol.,Change %
11-06-2012,3.4,3.45,3.35,3.4,3.24M,0.00%
12-06-2012,3.4,3.5,3.4,3.45,6.09M,1.47%
13-06-2012,3.45,3.45,3.35,3.4,7.29M,-1.45%
14-06-2012,3.4,3.45,3.35,3.4,31.81M,0.00%
15-06-2012,3.4,3.5,3.4,3.4,7.57M,0.00%
18-06-2012,3.4,3.45,3.4,3.45,1.82M,1.47%
19-06-2012,3.45,3.5,3.4,3.45,17.70M,0.00%
20-06-2012,3.45,3.55,3.45,3.5,6.22M,1.45%
21-06-2012,3.5,3.55,3.5,3.5,3.43M,0.00%
22-06-2012,3.5,3.55,3.5,3.5,6.43M,0.00%
25-06-2012,3.5,3.55,3.5,3.5,4.82M,0.00%
26-06-2012,3.5,3.55,3.45,3.5,14.21M,0.00%
27-06-2012,3.5,3.5,3.4,3.45,14.95M,-1.43%
28-06-2012,3.45,3.45,3.35,3.4,3.04M,-1.45%
29-06-2012,3.4,3.55,3.4,3.45,4.16M,1.47%
02-07-2012,3.45,3.65,3.5,3.6,7.46M,4.35%
03-07-2012,3.6,3.7,3.6,3.65,12.16M,1.39%
04-07-2012,3.65,3.7,3.5,3.55,945.90K,-2.74%
05-07-2012,3.55,3.6,3.45,3.55,1.50M,0.00%
06-07-2012,3.55,3.6,3.55,3.56,910.30K,0.28%
09-07-2012,3.55,3.6,3.55,3.55,1.25M,-0.28%
10-07-2012,3.55,3.6,3.55,3.55,6.93M,0.00%
11-07-2012,3.55,3.6,3.55,3.55,6.16M,0.00%
12-07-2012,3.55,3.65,3.55,3.6,6.85M,1.41%
13-07-2012,3.6,3.65,3.55,3.55,1.49M,-1.39%
16-07-2012,3.55,3.7,3.55,3.6,9.18M,1.41%
17-07-2012,3.6,3.75,3.6,3.65,2.05M,1.39%
18-07-2012,3.65,3.8,3.65,3.75,2.80M,2.74%
19-07-2012,3.75,3.9,3.75,3.85,16.54M,2.67%
20-07-2012,3.85,3.95,3.85,3.9,2.55M,1.30%
23-07-2012,3.9,4,3.85,3.9,1.62M,0.00%
24-07-2012,3.9,3.95,3.85,3.85,1.45M,-1.28%
25-07-2012,3.85,4,3.9,3.95,27.71M,2.60%
26-07-2012,3.95,4,3.9,3.95,21.48M,0.00%
27-07-2012,3.95,3.95,3.8,3.9,14.64M,-1.27%
30-07-2012,3.9,3.9,3.7,3.8,11.91M,-2.56%
31-07-2012,3.8,3.9,3.8,3.8,2.06M,0.00%
01-08-2012,3.8,3.85,3.8,3.8,1.50M,0.00%
02-08-2012,3.8,3.95,3.8,3.85,5.91M,1.32%
03-08-2012,3.85,3.95,3.9,3.95,19.48M,2.60%
06-08-2012,3.95,3.95,3.8,3.85,1.27M,-2.53%
07-08-2012,3.85,3.95,3.85,3.85,3.61M,0.00%
08-08-2012,3.85,3.9,3.8,3.85,2.41M,0.00%
09-08-2012,3.85,3.95,3.8,3.9,36.75M,1.30%
10-08-2012,3.9,3.9,3.7,3.8,10.92M,-2.56%
13-08-2012,3.8,3.9,3.7,3.75,1.03M,-1.32%
14-08-2012,3.75,3.85,3.7,3.75,426.10K,0.00%
15-08-2012,3.75,3.85,3.7,3.75,1.30M,0.00%
